_format_display_name__mutmut_100 | -['"node exporter": "Node Exporter",'] | +['"node exporter": "XXNode ExporterXX",']
_format_display_name__mutmut_54 | -['"grafana": "Grafana",'] | +['"GRAFANA": "Grafana",']
_format_display_name__mutmut_55 | -['"grafana": "Grafana",'] | +['"grafana": "XXGrafanaXX",']
_format_display_name__mutmut_56 | -['"grafana": "Grafana",'] | +['"grafana": "grafana",']
_format_display_name__mutmut_57 | -['"grafana": "Grafana",'] | +['"grafana": "GRAFANA",']
_format_display_name__mutmut_58 | -['"prometheus": "Prometheus",'] | +['"XXprometheusXX": "Prometheus",']
_format_display_name__mutmut_59 | -['"prometheus": "Prometheus",'] | +['"PROMETHEUS": "Prometheus",']
_format_display_name__mutmut_60 | -['"prometheus": "Prometheus",'] | +['"prometheus": "XXPrometheusXX",']
_format_display_name__mutmut_61 | -['"prometheus": "Prometheus",'] | +['"prometheus": "prometheus",']
_format_display_name__mutmut_62 | -['"prometheus": "Prometheus",'] | +['"prometheus": "PROMETHEUS",']
_format_display_name__mutmut_63 | -['"loki": "Loki",'] | +['"XXlokiXX": "Loki",']
_format_display_name__mutmut_64 | -['"loki": "Loki",'] | +['"LOKI": "Loki",']
_format_display_name__mutmut_65 | -['"loki": "Loki",'] | +['"loki": "XXLokiXX",']
_format_display_name__mutmut_66 | -['"loki": "Loki",'] | +['"loki": "loki",']
_format_display_name__mutmut_67 | -['"loki": "Loki",'] | +['"loki": "LOKI",']
_format_display_name__mutmut_68 | -['"jaeger": "Jaeger",'] | +['"XXjaegerXX": "Jaeger",']
_format_display_name__mutmut_69 | -['"jaeger": "Jaeger",'] | +['"JAEGER": "Jaeger",']
_format_display_name__mutmut_70 | -['"jaeger": "Jaeger",'] | +['"jaeger": "XXJaegerXX",']
_format_display_name__mutmut_71 | -['"jaeger": "Jaeger",'] | +['"jaeger": "jaeger",']
_format_display_name__mutmut_72 | -['"jaeger": "Jaeger",'] | +['"jaeger": "JAEGER",']
_format_display_name__mutmut_73 | -['"alertmanager": "Alertmanager",'] | +['"XXalertmanagerXX": "Alertmanager",']
_format_display_name__mutmut_74 | -['"alertmanager": "Alertmanager",'] | +['"ALERTMANAGER": "Alertmanager",']
_format_display_name__mutmut_75 | -['"alertmanager": "Alertmanager",'] | +['"alertmanager": "XXAlertmanagerXX",']
_format_display_name__mutmut_76 | -['"alertmanager": "Alertmanager",'] | +['"alertmanager": "alertmanager",']
_format_display_name__mutmut_77 | -['"alertmanager": "Alertmanager",'] | +['"alertmanager": "ALERTMANAGER",']
_format_display_name__mutmut_78 | -['"pyroscope": "Pyroscope",'] | +['"XXpyroscopeXX": "Pyroscope",']
_format_display_name__mutmut_79 | -['"pyroscope": "Pyroscope",'] | +['"PYROSCOPE": "Pyroscope",']
_format_display_name__mutmut_80 | -['"pyroscope": "Pyroscope",'] | +['"pyroscope": "XXPyroscopeXX",']
_format_display_name__mutmut_81 | -['"pyroscope": "Pyroscope",'] | +['"pyroscope": "pyroscope",']
_format_display_name__mutmut_82 | -['"pyroscope": "Pyroscope",'] | +['"pyroscope": "PYROSCOPE",']
_format_display_name__mutmut_83 | -['"alloy": "Grafana Alloy",'] | +['"XXalloyXX": "Grafana Alloy",']
_format_display_name__mutmut_84 | -['"alloy": "Grafana Alloy",'] | +['"ALLOY": "Grafana Alloy",']
_format_display_name__mutmut_85 | -['"alloy": "Grafana Alloy",'] | +['"alloy": "XXGrafana AlloyXX",']
_format_display_name__mutmut_86 | -['"alloy": "Grafana Alloy",'] | +['"alloy": "grafana alloy",']
_format_display_name__mutmut_87 | -['"alloy": "Grafana Alloy",'] | +['"alloy": "GRAFANA ALLOY",']
_format_display_name__mutmut_88 | -['"elasticsearch": "Elasticsearch",'] | +['"XXelasticsearchXX": "Elasticsearch",']
_format_display_name__mutmut_89 | -['"elasticsearch": "Elasticsearch",'] | +['"ELASTICSEARCH": "Elasticsearch",']
_format_display_name__mutmut_90 | -['"elasticsearch": "Elasticsearch",'] | +['"elasticsearch": "XXElasticsearchXX",']
_format_display_name__mutmut_91 | -['"elasticsearch": "Elasticsearch",'] | +['"elasticsearch": "elasticsearch",']
_format_display_name__mutmut_92 | -['"elasticsearch": "Elasticsearch",'] | +['"elasticsearch": "ELASTICSEARCH",']
_format_display_name__mutmut_93 | -['"dcgm exporter": "DCGM Exporter",'] | +['"XXdcgm exporterXX": "DCGM Exporter",']
_format_display_name__mutmut_94 | -['"dcgm exporter": "DCGM Exporter",'] | +['"DCGM EXPORTER": "DCGM Exporter",']
_format_display_name__mutmut_95 | -['"dcgm exporter": "DCGM Exporter",'] | +['"dcgm exporter": "XXDCGM ExporterXX",']
_format_display_name__mutmut_96 | -['"dcgm exporter": "DCGM Exporter",'] | +['"dcgm exporter": "dcgm exporter",']
_format_display_name__mutmut_97 | -['"dcgm exporter": "DCGM Exporter",'] | +['"dcgm exporter": "DCGM EXPORTER",']
_format_display_name__mutmut_98 | -['"node exporter": "Node Exporter",'] | +['"XXnode exporterXX": "Node Exporter",']
_format_display_name__mutmut_99 | -['"node exporter": "Node Exporter",'] | +['"NODE EXPORTER": "Node Exporter",']
_get_category__mutmut_9 | -['category_label = labels.get("orchestrator.category", "").upper()'] | +['category_label = labels.get("orchestrator.category", "XXXX").upper()']
_labels_list_to_dict__mutmut_11 | -['key, value = label.split("=", 1)'] | +['key, value = label.split("=", 2)']
_labels_list_to_dict__mutmut_8 | -['key, value = label.split("=", 1)'] | +['key, value = label.split("=", )']
_labels_list_to_dict__mutmut_9 | -['key, value = label.split("=", 1)'] | +['key, value = label.rsplit("=", 1)']
_parse_duration__mutmut_21 | -['unit = match.group(2) or "s"'] | +['unit = match.group(2) or "XXsXX"']
_parse_duration__mutmut_22 | -['unit = match.group(2) or "s"'] | +['unit = match.group(2) or "S"']
_parse_duration__mutmut_29 | -['elif unit == "h":'] | +['elif unit == "XXhXX":']
_parse_duration__mutmut_30 | -['elif unit == "h":'] | +['elif unit == "H":']
_parse_healthcheck__mutmut_1 | -['if healthcheck.get("disable"):'] | +['if healthcheck.get(None):']
_parse_healthcheck__mutmut_12 | -['if test and test[0] in ("CMD", "CMD-SHELL"):'] | +['if test and test[0] in ("XXCMDXX", "CMD-SHELL"):']
_parse_healthcheck__mutmut_13 | -['if test and test[0] in ("CMD", "CMD-SHELL"):'] | +['if test and test[0] in ("cmd", "CMD-SHELL"):']
_parse_healthcheck__mutmut_2 | -['if healthcheck.get("disable"):'] | +['if healthcheck.get("XXdisableXX"):']
_parse_healthcheck__mutmut_20 | -['test_str = " ".join(str(t) for t in test)'] | +['test_str = "XX XX".join(str(t) for t in test)']
_parse_healthcheck__mutmut_24 | -['port = int(match.group(1))'] | +['port = None']
_parse_healthcheck__mutmut_3 | -['if healthcheck.get("disable"):'] | +['if healthcheck.get("DISABLE"):']
_parse_healthcheck__mutmut_30 | -['endpoint = match.group(2) if match.lastindex and match.lastindex >= 2 else "/health"'] | +['endpoint = match.group(2) if (match.lastindex and match.lastindex >= 2) or True else "/health"']
_parse_healthcheck__mutmut_33 | -['endpoint = match.group(2) if match.lastindex and match.lastindex >= 2 else "/health"'] | +['endpoint = match.group(2) if match.lastindex or match.lastindex >= 2 else "/health"']
_parse_healthcheck__mutmut_36 | -['endpoint = match.group(2) if match.lastindex and match.lastindex >= 2 else "/health"'] | +['endpoint = match.group(2) if match.lastindex and match.lastindex >= 2 else "XX/healthXX"']
_parse_healthcheck__mutmut_37 | -['endpoint = match.group(2) if match.lastindex and match.lastindex >= 2 else "/health"'] | +['endpoint = match.group(2) if match.lastindex and match.lastindex >= 2 else "/HEALTH"']
_parse_healthcheck__mutmut_40 | -['if health_cmd.startswith("sh -c"):'] | +['if health_cmd.startswith("XXsh -cXX"):']
_parse_healthcheck__mutmut_41 | -['if health_cmd.startswith("sh -c"):'] | +['if health_cmd.startswith("SH -C"):']
_parse_healthcheck__mutmut_42 | -['cmd_port: int | None = None'] | +['cmd_port: int | None = ""']
_parse_healthcheck__mutmut_43 | -['port_match = re.search(r"-p\\s+(\\d+)|:(\\d+)", health_cmd)'] | +['port_match = None']
_parse_healthcheck__mutmut_48 | -['port_match = re.search(r"-p\\s+(\\d+)|:(\\d+)", health_cmd)'] | +['port_match = re.search(r"XX-p\\s+(\\d+)|:(\\d+)XX", health_cmd)']
_parse_healthcheck__mutmut_49 | -['port_match = re.search(r"-p\\s+(\\d+)|:(\\d+)", health_cmd)'] | +['port_match = re.search(r"-P\\s+(\\d+)|:(\\d+)", health_cmd)']
_parse_healthcheck__mutmut_9 | -['if test and test[0] in ("CMD", "CMD-SHELL"):'] | +['if test or test[0] in ("CMD", "CMD-SHELL"):']
_parse_port__mutmut_16 | -['container_port = parts[-1].split("/")[0]  # Remove /tcp, /udp'] | +['container_port = parts[-1].split(None)[0]  # Remove /tcp, /udp']
_parse_port__mutmut_17 | -['container_port = parts[-1].split("/")[0]  # Remove /tcp, /udp'] | +['container_port = parts[+1].split("/")[0]  # Remove /tcp, /udp']
_parse_port__mutmut_18 | -['container_port = parts[-1].split("/")[0]  # Remove /tcp, /udp'] | +['container_port = parts[-2].split("/")[0]  # Remove /tcp, /udp']
_parse_port__mutmut_19 | -['container_port = parts[-1].split("/")[0]  # Remove /tcp, /udp'] | +['container_port = parts[-1].split("XX/XX")[0]  # Remove /tcp, /udp']
_parse_port__mutmut_3 | -['ports = service_def.get("ports", [])'] | +['ports = service_def.get("ports", None)']
_parse_port__mutmut_5 | -['ports = service_def.get("ports", [])'] | +['ports = service_def.get("ports", )']
_parse_service__mutmut_16 | -['defaults = CATEGORY_DEFAULTS.get(category, CATEGORY_DEFAULTS[ServiceCategory.AI])'] | +['defaults = CATEGORY_DEFAULTS.get(None, CATEGORY_DEFAULTS[ServiceCategory.AI])']
_parse_service__mutmut_17 | -['defaults = CATEGORY_DEFAULTS.get(category, CATEGORY_DEFAULTS[ServiceCategory.AI])'] | +['defaults = CATEGORY_DEFAULTS.get(category, None)']
_parse_service__mutmut_19 | -['defaults = CATEGORY_DEFAULTS.get(category, CATEGORY_DEFAULTS[ServiceCategory.AI])'] | +['defaults = CATEGORY_DEFAULTS.get(category, )']
_parse_service__mutmut_31 | -['port = self._parse_port(service_def, health_port)'] | +['port = self._parse_port(service_def, None)']
_parse_service__mutmut_46 | -['labels.get("orchestrator.startup_grace_period")'] | +['labels.get(None)']
_parse_service__mutmut_47 | -['labels.get("orchestrator.startup_grace_period")'] | +['labels.get("XXorchestrator.startup_grace_periodXX")']
_parse_service__mutmut_48 | -['labels.get("orchestrator.startup_grace_period")'] | +['labels.get("ORCHESTRATOR.STARTUP_GRACE_PERIOD")']
_parse_service__mutmut_52 | -['or str(defaults["startup_grace_period"])'] | +['or str(None)']
_parse_service__mutmut_58 | -['labels.get("orchestrator.max_failures")', 'or healthcheck.get("retries")'] | +['labels.get("orchestrator.max_failures") and healthcheck.get("retries")']
_parse_service__mutmut_59 | -['labels.get("orchestrator.max_failures")'] | +['labels.get(None)']
_parse_service__mutmut_60 | -['labels.get("orchestrator.max_failures")'] | +['labels.get("XXorchestrator.max_failuresXX")']
_parse_service__mutmut_61 | -['labels.get("orchestrator.max_failures")'] | +['labels.get("ORCHESTRATOR.MAX_FAILURES")']
_parse_service__mutmut_62 | -['or healthcheck.get("retries")'] | +['or healthcheck.get(None)']
_parse_service__mutmut_63 | -['or healthcheck.get("retries")'] | +['or healthcheck.get("XXretriesXX")']
_parse_service__mutmut_64 | -['or healthcheck.get("retries")'] | +['or healthcheck.get("RETRIES")']
